104,12/08/2017, 15:35:03, rec0129
99,12/08/2017, 15:35:08, rec0084
59,12/08/2017, 15:35:13, rec0023
17,12/08/2017, 15:35:17, rec0104
18,12/08/2017, 15:35:22, rec0116
11,12/08/2017, 15:35:27, rec0159
111,12/08/2017, 15:35:32, HS-B.Harika
10,12/08/2017, 15:35:37, rec0140
06,12/08/2017, 15:35:52, rec0123
78,12/08/2017, 15:36:00, rec0095
15,12/08/2017, 15:36:10, rec0149
110,12/08/2017, 15:36:15, HS-Sharon
23,12/08/2017, 15:36:19, rec0051
106,12/08/2017, 15:36:41, rec0178
19,12/08/2017, 15:36:47, rec0102
84,12/08/2017, 15:36:57, rec0139
70,12/08/2017, 15:37:01, rec0096
69,12/08/2017, 15:37:05, rec0070
20,12/08/2017, 15:37:22, rec0127
08,12/08/2017, 15:37:30, rec0158
109,12/08/2017, 15:38:45, rec0183
27,12/08/2017, 15:38:58, rec0006
37,12/08/2017, 15:39:14, rec0038
61,12/08/2017, 15:39:18, rec0021
30,12/08/2017, 15:39:23, rec0099
40,12/08/2017, 15:39:53, rec0011
38,12/08/2017, 15:39:58, rec0030
39,12/08/2017, 15:40:26, rec0061
79,12/08/2017, 15:40:51, rec0039
101,12/08/2017, 15:40:59, rec0073
29,12/08/2017, 15:41:10, rec0047
87,12/08/2017, 15:41:17, rec0093
44,12/08/2017, 15:41:24, rec0155
53,12/08/2017, 15:46:38, rec0078
57,12/08/2017, 15:47:04, rec0074
57,12/08/2017, 15:47:08, rec0074
65,12/08/2017, 15:48:40, rec0020
41,12/08/2017, 15:48:56, rec0120
55,12/08/2017, 15:52:42, rec0012
